Business Legal Name,Assumed Name(s),Street,City,Borough,Postcode,License Type,License Status,License Issue Date,License Expiration Date,Latitude,Longitude,Council District,Community Board,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location
LITTLE POLAND LLC,LITTLE POLAND,200 2 AVENUE,NEW YORK,Manhattan,10003,Sidewalk,Issued,02/13/2026 04:01:30 PM,02/13/2030 11:59:59 PM,40.731394216196,-73.985617855678,2,103,1006479,1004540004,4001,MN0303,POINT (-73.985617855678 40.731394216196)
DON CEVICHE NYC CORP,DON CEVICHE,57 1 AVENUE,NEW YORK,Manhattan,10003,Roadway,Issued,06/27/2025 07:59:29 PM,06/27/2029 11:59:59 PM,40.724911272685,-73.987253599144,2,103,1006179,1004450033,38,MN0303,POINT (-73.987253599144 40.724911272685)
ROMA CREW INC,JORA,4746 11TH ST,LONG ISLAND CITY,Queens,11101,Sidewalk,Issued,02/13/2026 03:51:58 PM,02/13/2030 11:59:59 PM,40.744103925746,-73.951085568312,26,402,4000280,4000450022,701,QN0201,POINT (-73.951085568312 40.744103925746)
MOULINAS LLC,BAR TABAC,128 SMITH STREET,BROOKLYN,Brooklyn,11201,Roadway,Issued,07/18/2025 02:53:22 PM,07/18/2029 11:59:59 PM,40.687267028868,-73.990109379303,33,302,3001220,3001930020,43,BK0202,POINT (-73.990109379303 40.687267028868)
DA VINCI HOTEL CORP,JOE G RESTAURANT (DA VINCI HOTEL),244 WEST   56 STREET,NEW YORK,Manhattan,10019,Roadway,Issued,10/03/2025 01:27:46 PM,10/03/2029 11:59:59 PM,40.765659382099,-73.982498583522,6,105,1024885,1010270060,137,MN0502,POINT (-73.982498583522 40.765659382099)
OHNO INC,SAMURAI MAMA,205 GRAND STREET,BROOKLYN,Brooklyn,11211,Roadway,Issued,01/16/2026 01:15:34 PM,01/16/2030 11:59:59 PM,40.714096213797,-73.960298884315,34,301,3062641,3023810013,553,BK0102,POINT (-73.960298884315 40.714096213797)
217 W85 LLC,ELEA,217 WEST   85 STREET,NEW YORK,Manhattan,10024,Roadway,Issued,01/02/2026 02:54:29 PM,01/02/2030 11:59:59 PM,40.787297893391,-73.976202152711,6,107,1033133,1012330016,171,MN0702,POINT (-73.976202152711 40.787297893391)
COZY CORNER CORP,COZY CORNER BAR,60-01 70 AVENUE,RIDGEWOOD,Queens,11385,Roadway,Issued,05/16/2025 03:58:15 PM,05/16/2029 11:59:59 PM,40.70161892992,-73.898576665288,30,405,4084420,4035160052,583,QN0502,POINT (-73.898576665288 40.70161892992)
48TH RESTAURANT ASSOCIATES LLC,AVRA ESTIATORIO,145 EAST   48 STREET,NEW YORK,Manhattan,10017,Roadway,Issued,06/27/2025 07:27:59 PM,06/27/2029 11:59:59 PM,40.755035271611,-73.972773917182,4,106,1036233,1013037501,92,MN0604,POINT (-73.972773917182 40.755035271611)
MADREL LLC,MARLOW BISTRO,1018 AMSTERDAM AVENUE,NEW YORK,Manhattan,10025,Sidewalk,Issued,01/16/2026 01:09:23 PM,01/16/2030 11:59:59 PM,40.802879384567,-73.963937246851,7,107,1056714,1018810035,195,MN0703,POINT (-73.963937246851 40.802879384567)
SAINT SABINO LLC,SAN SABINO,113 GREENWICH AVENUE,NEW YORK,Manhattan,10014,Sidewalk,Issued,03/06/2026 11:00:23 AM,03/06/2030 11:59:59 PM,40.738051153937,-74.00200273222,3,102,1011045,1006150076,77,MN0203,POINT (-74.00200273222 40.738051153937)
OREGANO LLC,OREGANO,102 BERRY STREET,BROOKLYN,Brooklyn,11249,Roadway,Issued,11/21/2025 01:24:12 PM,11/21/2029 11:59:59 PM,40.719016985907,-73.95860763538,33,301,3324818,3023180017,557,BK0102,POINT (-73.95860763538 40.719016985907)
1379 WATER & WHEAT LLC,WATER & WHEAT,1379 3RD AVE,NEW YORK,Manhattan,10075,Roadway,Issued,01/31/2025 02:35:24 PM,01/31/2029 11:59:59 PM,40.773952997869,-73.957519096997,5,108,1076312,1014337501,134,MN0801,POINT (-73.957519096997 40.773952997869)
BUDDIES BURRITO & TACO BAR INC,BUDDY'S BURRITO & TACO BAR,260 COURT STREET,BROOKLYN,Brooklyn,11231,Sidewalk,Issued,12/05/2025 02:32:36 PM,12/05/2029 11:59:59 PM,40.685148360927,-73.994562675802,39,306,3336007,3003260037,67,BK0601,POINT (-73.994562675802 40.685148360927)
25 BROADWAY BROOKLYN INC,ACRE,64 MESEROLE AVENUE,BROOKLYN,Brooklyn,11222,Roadway,Issued,06/27/2025 07:26:44 PM,06/27/2029 11:59:59 PM,40.726396216645,-73.954771451464,33,301,3065497,3026170006,561,BK0101,POINT (-73.954771451464 40.726396216645)
MSR BAKU INTERNATIONAL INC,BAKU PALACE,2001 EMMONS AVENUE,BROOKLYN,Brooklyn,11235,Sidewalk,Issued,02/27/2026 01:10:13 PM,02/27/2030 11:59:59 PM,40.583684087202,-73.948103783475,48,315,3247095,3087780052,608,BK1503,POINT (-73.948103783475 40.583684087202)
CARCAMAN INC,BAROLO EAST,214 EAST   49 STREET,NEW YORK,Manhattan,10017,Roadway,Issued,07/03/2025 01:11:31 PM,07/03/2029 11:59:59 PM,40.754944174132,-73.970662429017,4,106,1038030,1013220043,9,MN0604,POINT (-73.970662429017 40.754944174132)
MAMAN UWS LLC,MAMAN,429 AMSTERDAM AVENUE,NEW YORK,Manhattan,10024,Roadway,Issued,08/22/2025 03:30:40 PM,08/22/2029 11:59:59 PM,40.784166292653,-73.977365323332,6,107,,,165,MN0702,POINT (-73.977365323332 40.784166292653)
TH HOSPITALITY CORPORATION,KONA COFFEE ROASTERS,201 WEST   21 STREET,NEW YORK,Manhattan,10011,Sidewalk,Issued,02/28/2025 09:01:08 AM,02/28/2029 11:59:59 PM,40.742945041819,-73.996889220771,3,104,1014075,1007710038,87,MN0401,POINT (-73.996889220771 40.742945041819)
"THE SLOPE, LLC",THE GATE,321 FIFTH AVENUE,BROOKLYN,Brooklyn,11215,Sidewalk,Issued,01/09/2026 01:42:49 PM,01/09/2030 11:59:59 PM,40.672647578442,-73.983388278646,39,306,3021066,3009820009,135,BK0602,POINT (-73.983388278646 40.672647578442)
1621 RESTAURANTS INC,ELIO'S,1621 SECOND AVENUE,NEW YORK,Manhattan,10028,Sidewalk,Issued,03/06/2026 10:15:04 AM,03/06/2030 11:59:59 PM,40.776704064109,-73.952606878844,5,108,1048737,1015300022,14601,MN0803,POINT (-73.952606878844 40.776704064109)
LE BON NY CORP,CORRADO BREAD & PASTRY,1361 LEXINGTON AVENUE,NEW YORK,Manhattan,10128,Sidewalk,Issued,11/14/2025 12:30:49 PM,11/14/2029 11:59:59 PM,40.782218673136,-73.953581500572,5,108,1048254,1015190020,14802,MN0802,POINT (-73.953581500572 40.782218673136)
grey dog carmine inc,THE GREY DOG,49 CARMINE STREET,NEW YORK,Manhattan,10014,Roadway,Issued,10/03/2025 01:47:20 PM,10/03/2029 11:59:59 PM,40.729926607476,-74.003737975925,3,102,1083525,1005860042,67,MN0203,POINT (-74.003737975925 40.729926607476)
